state_cL,ftype_cL,fsource_cL,fsink_cL,cL,exmL,state_exmL,ftype_exmL,fsource_exmL,fsink_exmL,c,exm,empty
NM,NA,NA,NA,Livestock: Unmetered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Livestock%3AUnmetered-NMOSE,NA,NA
UT,NA,NA,NA,Monthly Precipitation Volume,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MonthlyPrecipitationVolume,NA,NA
NM,NA,NA,NA,Monthly Precipitation Volume,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MonthlyPrecipitationVolume,NA,NA
CA,Internal Transfer,Zone Land System,Zone Groundwater,Managed Aquifer Recharge-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ManagedAquiferRecharge-CA,NA,NA
WY,NA,NA,NA,NDVI,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#NDVI,NA,NA
NM,Internal Transfer,Zone Land System,Zone Groundwater,Groundwater Return-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#GroundwaterReturn-NM,NA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Commercial-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Commercial-NMOSE,NA,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Commercial-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Commercial-NMOSE,NA,NA
WY,NA,NA,NA,Wyoming Gain/Loss Estimation Method,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WyomingGain%2FLossEstimationMethod,NA,NA
WY,Outflow,Zone Surface Water,Atmosphere,Industrial Consumptive Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#IndustrialConsumptiveUse-WY,NA,NA
WY,Outflow,Zone Groundwater,Atmosphere,Industrial Consumptive Use-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#IndustrialConsumptiveUse-WY,NA,NA
NM,NA,NA,NA,Annual Evaporation,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AnnualEvaporation,NA,NA
NM,NA,NA,NA,Self Supplied Domestic Population,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#SelfSuppliedDomesticPopulation,NA,NA
WY,NA,NA,NA,Mine Safety and Health Administration (MSHA),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MineSafetyAndHealthAdministration%28MSHA%29,NA,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Groundwater Diversions-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#GroundwaterDiversions-NM,NA,NA
NM,Outflow,Zone Land System,Atmosphere,Land Surface Evapotranspiration-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#LandSurfaceExapotranspiration-NM,NA,NA
CO,Outflow,Zone Surface Water,Atmosphere,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,UT,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA
CO,Outflow,Zone Groundwater,Atmosphere,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,UT,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA
CO,Outflow,Zone Surface Water,Atmosphere,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,UT,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA
CO,Outflow,Zone Groundwater,Atmosphere,Municipal and Industrial Consumptive Use-CO,Municipal and Industrial Depeltion-UT,UT,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialConsumptiveUse-CO,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA
CA,Outflow,Zone Land System,Atmosphere,Evapotranspiration-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Evapotranspiration-CA,NA,NA
UT,Outflow,Zone Land System,Atmosphere,Agricultural Depletions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AgriculturalDepletions-UT,NA,NA
UT,Outflow,Zone Groundwater,Atmosphere,Agricultural Depletions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AgriculturalDepletions-UT,NA,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,Agricultural and Municipal Diversions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AgriculturalAndMunicipalDiversions-UT,NA,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Agricultural and Municipal Diversions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AgriculturalAndMunicipalDiversions-UT,NA,NA
UT,Internal Transfer,Zone Land System,Zone Surface Water,Total Land Return Flow-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#TotalLandReturnFlow-UT,NA,NA
CO,NA,NA,NA,Native Vegetation Coefficient,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#NativeVegetationCoefficient,NA,NA
WY,NA,NA,NA,USGS Stream Gages,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#USGSStreamGages,NA,NA
CO,NA,External Surface Water,Zone Surface Water,Gaged Surface Water Inflow-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#GagedSurfaceWaterInflow-CO,NA,NA
NM,NA,NA,NA,Weather Stations,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WeatherStations,NA,NA
CO,NA,NA,NA,NOAA Technical Report NWS 33,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#NOAATechnicalReportNWS33,NA,NA
WY,NA,NA,NA,US Geological Survey (USGS),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#USGeologicalSurvey%28USGS%29,NA,NA
WY,NA,NA,NA,State CU Output,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#StateCUOutput,NA,NA
CA,NA,NA,NA,Total Surface Water Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA
NM,NA,NA,NA,Conservancy Districts,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ConservancyDistricts,NA,NA
CO,NA,NA,NA,SCS TR21,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#SCSTR21,NA,NA
WY,NA,NA,NA,Irrigated Acreage,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAcreage,NA,NA
WY,NA,NA,NA,Annual Employee Hours,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AnnualEmployeeHours,NA,NA
