state_cL,ftype_cL,fsource_cL,fsink_cL,cL,pscL,state_pscL,ftype_pscL,fsource_pscL,fsink_pscL,c,psc,empty
CA,Inflow,External Groundwater,Zone Groundwater,Subsurface Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/SubsurfaceInflow-CA,NA,NA
CO,Outflow,Zone Groundwater,External Groundwater,Ground Water Outflow-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundWaterOutflow-CO,NA,NA
CA,Outflow,NA,NA,Total Groundwater System Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalGroundwaterSystemOutflow-CA,NA,NA
CA,Outflow,Zone Groundwater,External Groundwater,Subsurface Outflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/SubsurfaceOutflow-CA,NA,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Groundwater Diversions-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterDiversions-NM,NA,NA
NM,Outflow,Zone Groundwater,Atmosphere,Groundwater ET-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterET-NM,NA,NA
NM,Outflow,Zone Groundwater,Atmosphere,Riparian Consumption-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/RiparianConsumption-NM,NA,NA
CA,Internal Transfer,Zone Groundwater,Zone Surface Water,Lake Gain from Groundwater-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LakeGainFromGroundwater-CA,NA,NA
NM,Inflow,External Groundwater,Zone Groundwater,Groundwater Inflows-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterInflows-NM,NA,NA
NM,Outflow,Zone Groundwater,External Groundwater,Groundwater Outflows-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterOutflows-NM,NA,NA
NM,Internal Transfer,Zone Land System,Zone Groundwater,Groundwater Return-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterReturn-NM,NA,NA
