state,name,key,flow_type,flow_source,flow_sink,uri,imports
CA,a. CA-Stream Inflow,CA-Stream Inflow,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/StreamInflow-CA,"a. UT-Basin Inflow,a. UT-River Inflow,a. CA-Stream Inflow,a. NM-Surface Water Inflows"
CA,a. CA-Stream Loss to Groundwater,CA-Stream Loss to Groundwater,Internal Transfer,Zone Surface Water,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/StreamLossToGroundwater-CA,
CA,a. CA-Stream Outflow,CA-Stream Outflow,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/StreamOutfow-CA,"a. UT-Basin Outflow,a. CA-Stream Outflow"
CA,a. CA-Subsurface Inflow,CA-Subsurface Inflow,Inflow,External Groundwater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/SubsurfaceInflow-CA,"a. CO-Ground Water Inflow,a. CA-Subsurface Inflow,a. NM-Groundwater Inflows"
CA,a. CA-Subsurface Outflow,CA-Subsurface Outflow,Outflow,Zone Groundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/SubsurfaceOutflow-CA,"a. CO-Ground Water Outflow,a. CA-Subsurface Outflow"
CA,a. CA-Surface Water Delivery,CA-Surface Water Delivery,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDelivery-CA,
CA,a. CA-Surface Water Diversions,CA-Surface Water Diversions,Internal Transfer,Zone Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDiversions-CA,"a. CA-Surface Water Diversions,a. WY-Total Diversions"
CA,a. CA-Surface Water Exports,CA-Surface Water Exports,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterExports-CA,
CA,a. CA-TOPS: Satellite Irrigation Management Support,CA-TOPS: Satellite Irrigation Management Support,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TOPS-SIMS%3ASatelliteIrrigationManagementSupport,
CA,a. CA-Total Groundwater System Inflow,CA-Total Groundwater System Inflow,Inflow,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalGroundwaterSystemInflow-CA,
CA,a. CA-Total Groundwater System Outflow,CA-Total Groundwater System Outflow,Outflow,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalGroundwaterSystemOutflow-CA,
CA,a. CA-Total Inflow,CA-Total Inflow,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalInflow-CA,
CA,a. CA-Total Land System Inflow,CA-Total Land System Inflow,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalLandSystemInflow-CA,
CA,a. CA-Total Land System Outflow,CA-Total Land System Outflow,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalLandSystemOutflow-CA,
CA,a. CA-Total Outflow,CA-Total Outflow,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalOutflow-CA,
CA,a. CA-Total Surface Water Inflow,CA-Total Surface Water Inflow,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalSurfaceWaterInflow-CA,
CA,a. CA-Total Surface Water Outflow,CA-Total Surface Water Outflow,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TotalSurfaceWaterOutflow-CA,
CA,a. CA-Urban Applied Water,CA-Urban Applied Water,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/UrbanAppliedWater-CA,
CA,a. CA-USGS California Water Science Center  Groundwater Modeling,CA-USGS California Water Science Center  Groundwater Modeling,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/USGSCaliforniaWaterScienceCenter-GroundwaterModeling,
CA,a. CA-USGS Precipitationunoff Modeling System (PRMS),CA-USGS Precipitationunoff Modeling System (PRMS),NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Precipitation-RunoffModelingSystem%28PRMS%29,
CA,a. CA-USGS Surfaceater Data for California,CA-USGS Surfaceater Data for California,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/USGSSurface-WaterDataForCalifornia,
CA,a. CA-Water Release Caused by Land Subsidence,CA-Water Release Caused by Land Subsidence,Inflow,NA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/WaterReleaseCausedByLandSubsidence-CA,
