jL,cL,c,fsourceL,fsource,fsinkL,fsink,ftypeL,ftype,scL,sc,pscL,psc,exmL,exm
CA,Recharge of Precipitation,http://purl.org/iow/WaterBudgetingFramework#RechargeOfPrecipitation-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Recharge-NM,http://purl.org/iow/WaterBudgetingFramework#Recharge-NM,NA,NA,NA,NA
CA,Recharge of Precipitation,http://purl.org/iow/WaterBudgetingFramework#RechargeOfPrecipitation-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA,NA,NA
CA,Recharge of Precipitation,http://purl.org/iow/WaterBudgetingFramework#RechargeOfPrecipitation-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemOutflow-CA,NA,NA,NA,NA
CA,Recycled Water Export,http://purl.org/iow/WaterBudgetingFramework#RecycledWaterExport-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,External Land System,http://purl.org/iow/WaterBudgetingFramework#ExternalLandSystem,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Land System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemOutflow-CA,NA,NA,NA,NA
CA,Return Flow,http://purl.org/iow/WaterBudgetingFramework#ReturnFlow-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemOutflow-CA,NA,NA,NA,NA
CA,Return Flow,http://purl.org/iow/WaterBudgetingFramework#ReturnFlow-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA
CA,Runoff,http://purl.org/iow/WaterBudgetingFramework#Runoff-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemOutflow-CA,NA,NA,NA,NA
CA,Runoff,http://purl.org/iow/WaterBudgetingFramework#Runoff-CA,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA
CA,Stored Water Export,http://purl.org/iow/WaterBudgetingFramework#StoredWaterExport-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework#ExternalGroundwater,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Groundwater System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemOutflow-CA,NA,NA,NA,NA
CA,Stored Water Extraction,http://purl.org/iow/WaterBudgetingFramework#StoredWaterExtraction-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemOutflow-CA,NA,NA,NA,NA
